provinces;illiterate;male_illiterate;female_illiterate;population;ratio_illiterate_by_pop
Adana;55609;9622;45987;2280484;0.024384736
Adıyaman;24993;3724;21269;611037;0.040902597
Afyonkarahisar;12527;1933;10594;750193;0.01669837
Ağrı;24738;3418;21320;499801;0.049495699
Amasya;6663;1252;5411;342378;0.019460947
Ankara;76655;12780;63875;5864049;0.013072026
Antalya;24224;6266;17958;2722103;0.008899002
Artvin;3621;549;3072;169280;0.021390595
Aydın;15034;3026;12008;1165943;0.012894284
Balıkesir;17680;3913;13767;1276096;0.013854757
Bilecik;2800;607;2193;228495;0.012254097
Bingöl;11491;1842;9649;283276;0.040564679
Bitlis;13213;1945;11268;359808;0.036722363
Bolu;6285;1093;5192;326409;0.019254984
Burdur;4441;798;3643;275826;0.01610073
Bursa;50878;8969;41909;3238618;0.015709787
Çanakkale;5297;1460;3837;568966;0.009309871
Çankırı;4780;778;4002;199981;0.023902271
Çorum;16536;3021;13515;521335;0.031718569
Denizli;11418;2416;9002;1061371;0.010757784
Diyarbakır;77946;11621;66325;1833684;0.042507869
Edirne;6832;1589;5243;421247;0.016218513
Elazığ;16434;2846;13588;603941;0.027211267
Erzincan;7551;1146;6405;241239;0.031300909
Erzurum;27433;3871;23562;745005;0.036822572
Eskişehir;11343;2103;9240;921630;0.012307542
Gaziantep;48245;6039;42206;2193363;0.021995903
Giresun;15408;2289;13119;455922;0.033795254
Gümüşhane;3860;544;3316;142617;0.027065497
Hakkari;8714;1945;6769;282191;0.030879794
Hatay;24120;5262;18858;1562185;0.015439913
Isparta;7857;1409;6448;446409;0.017600452
Mersin;30839;6414;24425;1954279;0.015780244
İstanbul;212397;34747;177650;15701602;0.013527091
İzmir;47629;10217;37412;4493242;0.010600141
Kars;11150;1496;9654;272300;0.040947484
Kastamonu;13276;2026;11250;381991;0.034754746
Kayseri;25285;3893;21392;1452458;0.017408421
Kırklareli;4559;1080;3479;379031;0.01202804
Kırşehir;5143;726;4417;244546;0.021030808
Kocaeli;29772;5575;24197;2130006;0.013977425
Konya;35396;6298;29098;2330024;0.01519126
Kütahya;7740;1632;6108;571078;0.013553315
Malatya;29142;4159;24983;750491;0.038830579
Manisa;22722;4298;18424;1475353;0.01540106
Kahramanmaraş;38251;6482;31769;1134105;0.033727918
Mardin;46461;6808;39653;895911;0.051858946
Muğla;11368;2570;8798;1081867;0.010507761
Muş;18081;2718;15363;392301;0.04608961
Nevşehir;5675;795;4880;317952;0.017848606
Niğde;8374;1154;7220;372708;0.022467991
Ordu;30337;4960;25377;770711;0.039362355
Rize;8164;964;7200;346977;0.023528937
Sakarya;18280;3194;15086;1110735;0.016457571
Samsun;23648;4541;19107;1382376;0.017106778
Siirt;16296;2222;14074;336453;0.0484347
Sinop;6090;1124;4966;226957;0.026833277
Sivas;21953;2979;18974;637007;0.03446273
Tekirdağ;13696;2889;10807;1187162;0.011536757
Tokat;12521;2482;10039;612674;0.020436643
Trabzon;21674;2876;18798;822270;0.026358739
Tunceli;3673;558;3115;86612;0.042407519
Şanlıurfa;106044;12970;93074;2237745;0.047388778
Uşak;5344;1004;4340;375310;0.014238896
Van;45017;6618;38399;1118087;0.04026252
Yozgat;11709;1819;9890;413161;0.028340042
Zonguldak;20952;2429;18523;586802;0.0357054
Aksaray;11495;1540;9955;439474;0.026156269
Bayburt;2420;262;2158;83676;0.028921077
Karaman;4026;828;3198;262791;0.015320159
Kırıkkale;5831;683;5148;283053;0.020600382
Batman;22971;3424;19547;654528;0.035095519
Şırnak;23156;3169;19987;570826;0.040565777
Bartın;5363;1032;4331;206715;0.025943932
Ardahan;3740;544;3196;91354;0.040939641
Iğdır;9342;1425;7917;206857;0.045161633
Yalova;3813;727;3086;307882;0.012384615
Karabük;7111;998;6113;250478;0.028389719
Kilis;3037;640;2397;156739;0.01937616
Osmaniye;17997;3236;14761;561061;0.032076726
Düzce;7980;1381;6599;412344;0.019352773
