provinces;average_ses_score
Adana;128.93
Adıyaman;124.44
Afyonkarahisar;119.73
Ağrı;115.22
Amasya;122.68
Ankara;149.66
Antalya;134.86
Artvin;127.19
Aydın;122.35
Balıkesir;121.98
Bilecik;130.04
Bingöl;123.92
Bitlis;124.49
Bolu;131.17
Burdur;121.14
Bursa;136.56
Çanakkale;126.87
Çankırı;116.84
Çorum;115.31
Denizli;127.08
Diyarbakır;125.49
Edirne;124.40
Elazığ;127.05
Erzincan;123.76
Erzurum;128.13
Eskişehir;136.04
Gaziantep;124.94
Giresun;119.20
Gümüşhane;115.19
Hakkari;128.20
Hatay;119.65
Isparta;126.41
Mersin;127.10
İstanbul;148.47
İzmir;138.29
Kars;123.62
Kastamonu;115.23
Kayseri;129.69
Kırklareli;128.11
Kırşehir;122.74
Kocaeli;145.79
Konya;125.12
Kütahya;120.14
Malatya;127.62
Manisa;123.05
Kahramanmaraş;122.12
Mardin;120.91
Muğla;134.58
Muş;119.37
Nevşehir;122.02
Niğde;116.66
Ordu;119.97
Rize;130.10
Sakarya;133.07
Samsun;127.28
Siirt;126.54
Sinop;112.02
Sivas;122.64
Tekirdağ;135.41
Tokat;117.51
Trabzon;130.04
Tunceli;124.27
Şanlıurfa;113.07
Uşak;121.24
Van;124.86
Yozgat;112.55
Zonguldak;122.46
Aksaray;117.33
Bayburt;126.24
Karaman;120.88
Kırıkkale;124.41
Batman;131.36
Şırnak;124.25
Bartın;119.65
Ardahan;122.48
Iğdır;121.05
Yalova;127.69
Karabük;122.13
Kilis;125.36
Osmaniye;125.03
Düzce;130.80
